R-DRE-190377	FGFR2b ligand binding and activation	7	7	1	0	0	1	1	1	1	0	0	17	7	4878	0.97596	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654221	Phospholipase C-mediated cascade; FGFR2	11	11	1	0	0	1	1	1	1	0	0	17	11	4874	0.96247	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654695	PI-3K cascade:FGFR2	16	16	1	0	0	1	1	1	1	0	0	17	16	4869	0.94585	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654696	Downstream signaling of activated FGFR2	20	20	1	0	0	1	1	1	1	0	0	17	20	4865	0.93275	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654699	SHC-mediated cascade:FGFR2	15	15	1	0	0	1	1	1	1	0	0	17	15	4870	0.94915	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654700	FRS-mediated FGFR2 signaling	16	16	1	0	0	1	1	1	1	0	0	17	16	4869	0.94585	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654727	Negative regulation of FGFR2 signaling	25	25	1	0	0	1	1	1	1	0	0	17	25	4860	0.91662	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654738	Signaling by FGFR2	54	54	1	0	0	1	1	1	1	0	0	17	54	4831	0.8281	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-194002	Glucocorticoid biosynthesis	9	9	2	2	1	1	1	1	2	0	0	17	9	4876	0.96919	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-196071	Metabolism of steroid hormones	20	21	2	2	1	1	1	1	2	0	0	17	21	4864	0.9295	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-211897	Cytochrome P450 - arranged by substrate type	37	37	4	3	3	3	3	3	4	2	2	15	35	4850	0.99975	0.0070208	0.0070208	5.41	563369;103909721	cyp2r1;fo904880.1	ENSDARG00000056587;ENSDARG00000110366		0.024000260000000002	0.024000260000000002	0.00366012	0.028765301848567477	0.01332058781979909	0.024481253944315953	0.01396031	0.01396031	0.00216762	0.016677382134861578	0.007768510763478841	0.014193601350659106	0.041261825	0.041261825	0.00618025	0.04961283915440892	0.022842103180723838	0.042223944689739897	0.5	0.024000260000000002			0.01396031		0.041261825		0.00366012;0.0443404	0.00216762;0.025753	0.00618025;0.0763434	1	1	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	1	563369	ENSDARG00000056587	0.00366012	0.00366012		0.00216762	0.00216762		0.00618025	0.00618025		0.00366012	0.00216762	0.00618025	0						Linear,1(0.5);Poly 2,1(0.5)	3.186917699178484	7.591933369636536	1.7337061166763306	5.858227252960205	2.916476864613572	3.795966684818268	-0.015866414399999997	0.06386693439999999	-0.009153362400000002	0.037073982400000004	-0.027498062000000004	0.11002171200000001	CONFLICT	0.5	0.5	0.0	
R-DRE-211935	Fatty acids	11	11	2	1	1	2	2	2	2	1	1	16	10	4875	0.99939	0.037531	0.037531	9.09	103909721	fo904880.1	ENSDARG00000110366		0.0443404	0.0443404	0.0443404		0.0443404		0.025753	0.025753	0.025753		0.025753		0.0763434	0.0763434	0.0763434		0.0763434		0.0	0.0443404			0.025753		0.0763434		0.0443404	0.025753	0.0763434	1	0	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	0															0						Linear,1(1)	1.7337061166763306	1.7337061166763306	1.7337061166763306	1.7337061166763306	0.0	1.7337061166763306	0.0443404	0.0443404	0.025753	0.025753	0.0763434	0.0763434	UP	1.0	0.0	0.0	
R-DRE-211958	Miscellaneous substrates	15	15	3	2	2	2	2	2	3	1	1	16	14	4871	0.99884	0.050846	0.050846	6.67	103909721	fo904880.1	ENSDARG00000110366		0.0443404	0.0443404	0.0443404		0.0443404		0.025753	0.025753	0.025753		0.025753		0.0763434	0.0763434	0.0763434		0.0763434		0.0	0.0443404			0.025753		0.0763434		0.0443404	0.025753	0.0763434	1	0	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	0															0						Linear,1(1)	1.7337061166763306	1.7337061166763306	1.7337061166763306	1.7337061166763306	0.0	1.7337061166763306	0.0443404	0.0443404	0.025753	0.025753	0.0763434	0.0763434	UP	1.0	0.0	0.0	
R-DRE-211981	Xenobiotics	17	17	3	2	2	2	2	2	3	1	1	16	16	4869	0.99851	0.057439	0.057439	5.88	103909721	fo904880.1	ENSDARG00000110366		0.0443404	0.0443404	0.0443404		0.0443404		0.025753	0.025753	0.025753		0.025753		0.0763434	0.0763434	0.0763434		0.0763434		0.0	0.0443404			0.025753		0.0763434		0.0443404	0.025753	0.0763434	1	0	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	0															0						Linear,1(1)	1.7337061166763306	1.7337061166763306	1.7337061166763306	1.7337061166763306	0.0	1.7337061166763306	0.0443404	0.0443404	0.025753	0.025753	0.0763434	0.0763434	UP	1.0	0.0	0.0	
R-DRE-211999	CYP2E1 reactions	10	10	2	1	1	2	2	2	2	1	1	16	9	4876	0.9995	0.034174	0.034174	10.0	103909721	fo904880.1	ENSDARG00000110366		0.0443404	0.0443404	0.0443404		0.0443404		0.025753	0.025753	0.025753		0.025753		0.0763434	0.0763434	0.0763434		0.0763434		0.0	0.0443404	0.0	0.0443404	0.025753	0.025753	0.0763434	0.0763434	0.0443404	0.025753	0.0763434	1	0	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	0															0						Linear,1(1)	1.7337061166763306	1.7337061166763306	1.7337061166763306	1.7337061166763306	0.0	1.7337061166763306	0.0443404	0.0443404	0.025753	0.025753	0.0763434	0.0763434	UP	1.0	0.0	0.0	
R-DRE-9018677	Biosynthesis of DHA-derived SPMs	16	16	3	2	1	3	3	3	3	1	1	16	15	4870	0.99868	0.054148	0.054148	6.25	103909721	fo904880.1	ENSDARG00000110366		0.0443404	0.0443404	0.0443404		0.0443404		0.025753	0.025753	0.025753		0.025753		0.0763434	0.0763434	0.0763434		0.0763434		0.0	0.0443404			0.025753		0.0763434		0.0443404	0.025753	0.0763434	1	0	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	0															0						Linear,1(1)	1.7337061166763306	1.7337061166763306	1.7337061166763306	1.7337061166763306	0.0	1.7337061166763306	0.0443404	0.0443404	0.025753	0.025753	0.0763434	0.0763434	UP	1.0	0.0	0.0	
R-DRE-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	17	17	3	2	1	3	3	3	3	1	1	16	16	4869	0.99851	0.057439	0.057439	5.88	103909721	fo904880.1	ENSDARG00000110366		0.0443404	0.0443404	0.0443404		0.0443404		0.025753	0.025753	0.025753		0.025753		0.0763434	0.0763434	0.0763434		0.0763434		0.0	0.0443404			0.025753		0.0763434		0.0443404	0.025753	0.0763434	1	0	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	0															0						Linear,1(1)	1.7337061166763306	1.7337061166763306	1.7337061166763306	1.7337061166763306	0.0	1.7337061166763306	0.0443404	0.0443404	0.025753	0.025753	0.0763434	0.0763434	UP	1.0	0.0	0.0	
R-DRE-9018682	Biosynthesis of maresins	12	12	2	1	1	2	2	2	2	1	1	16	11	4874	0.99927	0.040876	0.040876	8.33	103909721	fo904880.1	ENSDARG00000110366		0.0443404	0.0443404	0.0443404		0.0443404		0.025753	0.025753	0.025753		0.025753		0.0763434	0.0763434	0.0763434		0.0763434		0.0	0.0443404			0.025753		0.0763434		0.0443404	0.025753	0.0763434	1	0	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	0															0						Linear,1(1)	1.7337061166763306	1.7337061166763306	1.7337061166763306	1.7337061166763306	0.0	1.7337061166763306	0.0443404	0.0443404	0.025753	0.025753	0.0763434	0.0763434	UP	1.0	0.0	0.0	
R-DRE-9027307	Biosynthesis of maresin-like SPMs	12	12	2	1	1	2	2	2	2	1	1	16	11	4874	0.99927	0.040876	0.040876	8.33	103909721	fo904880.1	ENSDARG00000110366		0.0443404	0.0443404	0.0443404		0.0443404		0.025753	0.025753	0.025753		0.025753		0.0763434	0.0763434	0.0763434		0.0763434		0.0	0.0443404			0.025753		0.0763434		0.0443404	0.025753	0.0763434	1	0	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	0															0						Linear,1(1)	1.7337061166763306	1.7337061166763306	1.7337061166763306	1.7337061166763306	0.0	1.7337061166763306	0.0443404	0.0443404	0.025753	0.025753	0.0763434	0.0763434	UP	1.0	0.0	0.0	
R-DRE-6804115	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	14	14	1	1	1	1	1	1	1	1	1	16	13	4872	0.99899	0.047534	0.047534	7.14	30079	btg2	ENSDARG00000020298		0.0463306	0.0463306	0.0463306		0.046330600000000006		0.0264137	0.0264137	0.0264137		0.026413699999999995		0.0812654	0.0812654	0.0812654		0.0812654		0.0	0.0463306			0.0264137		0.0812654		0.0463306	0.0264137	0.0812654	0	1	0															1	30079	ENSDARG00000020298	0.0463306	0.0463306		0.0264137	0.0264137		0.0812654	0.0812654		0.0463306	0.0264137	0.0812654	0						Linear,1(1)	1.6295682191848755	1.6295682191848755	1.6295682191848755	1.6295682191848755	0.0	1.6295682191848755	0.0463306	0.0463306	0.0264137	0.0264137	0.0812654	0.0812654	DOWN	0.0	1.0	0.0	
R-DRE-606279	Deposition of new CENPA-containing nucleosomes at the centromere	24	33	1	1	1	1	1	1	1	1	1	16	32	4853	0.99439	0.10865	0.10865	3.03	567320	cenpw	ENSDARG00000092136		0.00346644	0.00346644	0.00346644		0.00346644		0.00209006	0.00209006	0.00209006		0.00209006		0.00574919	0.00574919	0.00574919		0.00574919										0.00346644	0.00209006	0.00574919	0	1	0															1	567320	ENSDARG00000092136	0.00346644	0.00346644		0.00209006	0.00209006		0.00574919	0.00574919		0.00346644	0.00209006	0.00574919	0						Poly 2,1(1)	1.515392541885376	1.515392541885376	1.515392541885376	1.515392541885376	0.0	1.515392541885376	0.00346644	0.00346644	0.00209006	0.00209006	0.00574919	0.00574919	DOWN	0.0	1.0	0.0	
R-DRE-774815	Nucleosome assembly	24	33	1	1	1	1	1	1	1	1	1	16	32	4853	0.99439	0.10865	0.10865	3.03	567320	cenpw	ENSDARG00000092136		0.00346644	0.00346644	0.00346644		0.00346644		0.00209006	0.00209006	0.00209006		0.00209006		0.00574919	0.00574919	0.00574919		0.00574919										0.00346644	0.00209006	0.00574919	0	1	0															1	567320	ENSDARG00000092136	0.00346644	0.00346644		0.00209006	0.00209006		0.00574919	0.00574919		0.00346644	0.00209006	0.00574919	0						Poly 2,1(1)	1.515392541885376	1.515392541885376	1.515392541885376	1.515392541885376	0.0	1.515392541885376	0.00346644	0.00346644	0.00209006	0.00209006	0.00574919	0.00574919	DOWN	0.0	1.0	0.0	
R-DRE-70171	Glycolysis	22	22	1	0	0	1	1	1	1	0	0	17	22	4863	0.92627	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-70326	Glucose metabolism	34	34	2	1	0	2	2	2	2	0	0	17	34	4851	0.88824	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-157118	Signaling by NOTCH	5	5	1	1	0	1	1	1	1	0	0	17	5	4880	0.98277	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1483166	Synthesis of PA	24	24	1	1	1	1	1	1	1	1	1	16	23	4862	0.99701	0.080176	0.080176	4.17	541431	miga2	ENSDARG00000089357		0.00431549	0.00431549	0.00431549		0.00431549		0.00237892	0.00237892	0.00237892		0.00237892		0.00782854	0.00782854	0.00782854		0.00782854										0.00431549	0.00237892	0.00782854	1	0	1	541431	ENSDARG00000089357	0.00431549	0.00431549		0.00237892	0.00237892		0.00782854	0.00782854		0.00431549	0.00237892	0.00782854	0															0						Poly 2,1(1)	1.5408140420913696	1.5408140420913696	1.5408140420913696	1.5408140420913696	0.0	1.5408140420913696	0.00431549	0.00431549	0.00237892	0.00237892	0.00782854	0.00782854	UP	1.0	0.0	0.0	
R-DRE-73621	Pyrimidine catabolism	5	5	1	0	0	0	0	0	1	0	0	17	5	4880	0.98277	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-8956319	Nucleotide catabolism	20	20	1	0	0	0	0	0	1	0	0	17	20	4865	0.93275	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-3238698	WNT ligand biogenesis and trafficking	19	20	1	1	0	1	1	1	1	0	0	17	20	4865	0.93275	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5213460	RIPK1-mediated regulated necrosis	15	16	1	1	1	1	1	1	1	1	1	16	15	4870	0.99868	0.054148	0.054148	6.25	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181			0.0284636		0.0998755		0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-5675482	Regulation of necroptotic cell death	15	16	1	1	1	1	1	1	1	1	1	16	15	4870	0.99868	0.054148	0.054148	6.25	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181			0.0284636		0.0998755		0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-381771	Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	7	8	1	1	1	1	1	1	1	1	1	16	7	4878	0.99969	0.027429	0.027429	12.5	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278		0.0	0.0379502	0.0	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-400508	Incretin synthesis, secretion, and inactivation	7	8	1	1	1	1	1	1	1	1	1	16	7	4878	0.99969	0.027429	0.027429	12.5	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278		0.0	0.0379502	0.0	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-3899300	SUMOylation of transcription cofactors	34	34	1	1	1	0	0	0	1	0	0	17	34	4851	0.88824	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-111465	Apoptotic cleavage of cellular proteins	17	17	1	1	1	1	1	1	1	1	1	16	16	4869	0.99851	0.057439	0.057439	5.88	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181			0.0284636		0.0998755		0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-140534	Caspase activation via Death Receptors in the presence of ligand	8	9	1	1	1	1	1	1	1	1	1	16	8	4877	0.9996	0.030807	0.030807	11.11	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181	0.0	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-264870	Caspase-mediated cleavage of cytoskeletal proteins	4	4	1	1	1	1	1	1	1	1	1	16	3	4882	0.99993	0.013804	0.013804	25.0	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181	0.0	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-3371378	Regulation by c-FLIP	8	9	1	1	1	1	1	1	1	1	1	16	8	4877	0.9996	0.030807	0.030807	11.11	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181	0.0	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-5218900	CASP8 activity is inhibited	8	9	1	1	1	1	1	1	1	1	1	16	8	4877	0.9996	0.030807	0.030807	11.11	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181	0.0	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-5357769	Caspase activation via extrinsic apoptotic signalling pathway	11	12	1	1	1	1	1	1	1	1	1	16	11	4874	0.99927	0.040876	0.040876	8.33	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181			0.0284636		0.0998755		0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-5660668	CLEC7A/inflammasome pathway	1	1	1	1	1	1	1	1	1	1	1	16	0	4885	1.0	0.003468	0.003468	100.0	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181	0.0	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-69416	Dimerization of procaspase-8	8	9	1	1	1	1	1	1	1	1	1	16	8	4877	0.9996	0.030807	0.030807	11.11	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181	0.0	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-75157	FasL/ CD95L signaling	3	4	1	1	1	1	1	1	1	1	1	16	3	4882	0.99993	0.013804	0.013804	25.0	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181	0.0	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-75158	TRAIL  signaling	5	5	1	1	1	1	1	1	1	1	1	16	4	4881	0.99989	0.017227	0.017227	20.0	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181	0.0	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-1433557	Signaling by SCF-KIT	23	23	1	1	1	1	1	0	1	0	0	17	23	4862	0.92304	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1433559	Regulation of KIT signaling	11	11	1	1	1	1	1	0	1	0	0	17	11	4874	0.96247	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9013407	RHOH GTPase cycle	19	20	1	1	1	1	1	0	1	0	0	17	20	4865	0.93275	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-156584	Cytosolic sulfonation of small molecules	16	16	1	1	0	1	1	1	1	0	0	17	16	4869	0.94585	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2022090	Assembly of collagen fibrils and other multimeric structures	18	18	1	1	0	1	1	1	1	0	0	17	18	4867	0.93928	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9013422	RHOBTB1 GTPase cycle	10	10	1	0	0	1	1	1	1	0	0	17	10	4875	0.96583	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9706574	RHOBTB GTPase Cycle	16	16	1	0	0	1	1	1	1	0	0	17	16	4869	0.94585	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-3299685	Detoxification of Reactive Oxygen Species	18	18	1	1	1	0	0	0	1	0	0	17	18	4867	0.93928	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1912408	Pre-NOTCH Transcription and Translation	2	2	1	1	0	1	1	1	1	0	0	17	2	4883	0.99308	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1912422	Pre-NOTCH Expression and Processing	2	2	1	1	0	1	1	1	1	0	0	17	2	4883	0.99308	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	25	25	1	1	1	1	1	1	1	1	1	16	24	4861	0.99676	0.083381	0.083381	4.0	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278										0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
